No.,屬性,類型,基因名稱,基因等級,等級,主/被,技能名稱,技能細節,目標,羈絆值消耗,基礎值【強化2】,技能特效【強化2】,固有,一般,稀有
266,,,吸血基因【特大】,XL,,,,,,,,,,,
267,無,技巧,氣體基因【小】,S,8,主動,毒氣體,"對敵方全體造成無屬性小量傷害。高機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,21,40,毒 80% 3回合,岩龍,,
268,火,力量,氣體基因【中】,M,15,主動,焰熱氣體,"對敵方全體造成火屬性小量傷害。高機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,24,40,燒傷 80% 3回合,岩龍,,
269,無,技巧,氣體基因【大】,L,10,主動,猛毒氣體,"對敵方全體造成無屬性中量傷害。高機率使其陷入猛毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,28,60,猛毒 80% 3回合,桃岩龍,,
270,,,氣體基因【特大】,XL,,,,,,,,,,,
271,水,無,濁水基因【小】,S,20,主動,泥盔甲,"自己的火屬性防禦力提升，且水屬性防禦力降低。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,10,0,"火屬性防禦力提升[30] 100% 5回合
水屬性防禦力降低[30] 100% 5回合",土砂龍,,
272,水,速度,濁水基因【中】,M,1,主動,濺泥,"對單一敵方造成水屬性小量傷害。低機率使其速度降低。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,9,40,速度降低[1] 35% 2回合,土砂龍,,
273,,,濁水基因【大】,L,,,,,,,,,,,
274,,,濁水基因【特大】,XL,,,,,,,,,,,
275,水,力量,潑水基因【小】,S,1,主動,洪水危機,"對單一敵方造成水屬性小量傷害。高機率使其雷防禦力與速度降低。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,13,40,"雷屬性防禦力降低[30] 80% 2回合
速度降低[1] 80% 2回合",水獸,,
276,,,潑水基因【中】,M,,,,,,,,,,,
277,,,潑水基因【大】,L,,,,,,,,,,,
278,,,潑水基因【特大】,XL,,,,,,,,,,,
279,,,狂熱化基因【小】,S,,,,,,,,,,,
280,,,狂熱化基因【中】,M,,,,,,,,,,,
281,龍,無,狂熱化基因【大】,L,1,主動,狂熱化,"自己的攻擊力大幅提升，且防禦力中幅降低。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,24,0,"全屬性攻擊力提升[70] 100% 5回合
全屬性防禦力降低[30] 100% 5回合",恐暴龍,,
282,,,狂熱化基因【特大】,XL,,,,,,,,,,,
283,,,鐵面皮基因【小】,S,,,,,,,,,,,
284,無,無,鐵面皮基因【中】,M,20,主動,鐵面具,"所有狀態異常對自己無效。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,2,0,狀態異常無效 100% 5回合,白猿狐,,
285,,,鐵面皮基因【大】,L,,,,,,,,,,,
286,,,鐵面皮基因【特大】,XL,,,,,,,,,,,
287,,,月輪基因【小】,S,,,,,,,,,,,
288,,,月輪基因【中】,M,,,,,,,,,,,
289,無,無,月輪基因【大】,L,40,主動,月輪咆哮,"高機率解除敵方全體的輔助效果。
【強化1】機率：小幅提升
【強化2】必定解除",全體,2,0,,金火龍,,
290,,,月輪基因【特大】,XL,,,,,,,,,,,
291,冰,速度,凍氣基因【小】,S,1,主動,冰霜暴風,"對單一敵方造成冰屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,風漂龍,,
292,,,凍氣基因【中】,M,,,,,,,,,,,
293,冰,力量,凍氣基因【大】,L,25,主動,寒霜爆裂,"對敵方全體造成冰屬性中量傷害。低機率使其陷入技能封印狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,22,60,技能封印 30% 2回合,風漂龍,,
294,,,凍氣基因【特大】,XL,,,,,,,,,,,
295,,,風牙基因【小】,S,,,,,,,,,,,
296,,,風牙基因【中】,M,,,,,,,,,,,
297,無,速度,風牙基因【大】,L,15,主動,追旋風重擊,"對單一敵方造成無屬性中量傷害。對陷入龍捲的敵方造成的傷害提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,對龍捲異常狀態傷害提升,風牙龍,,
298,,,風牙基因【特大】,XL,,,,,,,,,,,
299,,,白兔基因【小】,S,,,,,,,,,,,
300,冰,速度,白兔基因【中】,M,15,主動,履冰滑擊,"對單一敵方造成冰屬性小量傷害。命中率低，但命中時必定會心。
【強化1】命中率：小幅提升
【強化2】命中率：中幅提升",單體,18,35,命中率低但必定會心,白兔獸,,
301,,,白兔基因【大】,L,,,,,,,,,,,
302,,,白兔基因【特大】,XL,,,,,,,,,,,
303,,,電殼龍基因【小】,S,,,,,,,,,,,
304,,,電殼龍基因【中】,M,,,,,,,,,,,
305,雷,無,電殼龍基因【大】,L,30,主動,雷鬥氣,"賦予自己的攻擊麻痺效果。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,5,0,賦予麻痺能力 100% 5回合,海龍,,
306,,,電殼龍基因【特大】,XL,,,,,,,,,,,
307,,,狐火基因【小】,S,,,,,,,,,,,
308,,,狐火基因【中】,M,,,,,,,,,,,
309,水,無,狐火基因【大】,L,15,主動,整毛,"自己的水屬性攻擊力中幅提升，且雷屬性防禦力中幅降低。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,10,0,"水屬性攻擊力提升[30] 100% 5回合
雷屬性防禦力降低[30] 100% 5回合",天眼泡狐龍,,
310,,,狐火基因【特大】,XL,,,,,,,,,,,
311,,,幻獸基因【小】,S,,,,,,,,,,,
312,,,幻獸基因【中】,M,,,,,,,,,,,
313,冰,無,幻獸基因【大】,L,1,主動,冰鬥氣,"賦予自己的攻擊技能封印效果。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",,5,0,,冰麒麟,,
314,冰,速度,幻獸基因【特大】,XL,40,主動,冰尖災禍,對敵方全體造成冰屬性大量傷害。高幾率使其陷入技能封印狀態2回合。,,40,0,,冰麒麟,,
315,,,迅龍基因【小】,S,,,,,,,,,,,
316,無,速度,迅龍基因【中】,M,15,主動,奪命尾巴,"對單一敵方造成無屬性中量傷害。會心率高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,20,60,會心率[20],迅龍,,
317,,,迅龍基因【大】,L,,,,,,,,,,,
318,,,迅龍基因【特大】,XL,,,,,,,,,,,
319,,,重殼龍基因【小】,S,,,,,,,,,,,
320,無,力量,重殼龍基因【中】,M,10,主動,奪命衝擊,"對單一敵方造成無屬性中量傷害。會心率高。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,20,60,會心率[20],鎧龍,,
321,,,重殼龍基因【大】,L,,,,,,,,,,,
322,,,重殼龍基因【特大】,XL,,,,,,,,,,,
323,,,影蜘蛛基因【小】,S,,,,,,,,,,,
324,無,技巧,影蜘蛛基因【中】,M,10,主動,追眠重擊,"對單一敵方造成無屬性中量傷害。對陷入睡眠的敵方造成的傷害提升。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,10,60,對睡眠狀態傷害提升,眠狗龍王、影蜘蛛,,
325,,,影蜘蛛基因【大】,L,,,,,,,,,,,
326,,,影蜘蛛基因【特大】,XL,,,,,,,,,,,
327,,,火龍基因【小】,S,,,,,,,,,,,
328,火,無,火龍基因【中】,M,30,主動,烈焰鬥氣,"賦予自己的攻擊燒傷效果。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,5,0,賦予燒傷能力 100% 5回合,蒼火龍,,
329,,,火龍基因【大】,L,,,,,,,,,,,
330,,,火龍基因【特大】,XL,,,,,,,,,,,
331,,,千裂爪基因【小】,S,,,,,,,,,,,
332,無,技巧,千裂爪基因【中】,M,1,主動,千裂爪,"對單一敵方造成無屬性大量傷害。高機率使其陷入裂傷狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,24,110,裂傷 80% 2回合,千刃龍、加爾克(無),,
333,,,千裂爪基因【大】,L,,,,,,,,,,,
334,,,千裂爪基因【特大】,XL,,,,,,,,,,,
335,,,泡舞基因【小】,S,,,,,,,,,,,
336,,,泡舞基因【中】,M,,,,,,,,,,,
337,無,無,泡舞基因【大】,L,30,主動,泡沫之舞,"迴避敵方對自己的攻擊1次。
【強化0】僅在使用回合中有效。
【強化1】僅在使用回合中有效，體力獲得微量回復
【強化2】在2回合間，維持迴避效果，體力獲得微量回復。",自身,21,0,"絕對迴避[1] 200% 2回合
自然恢復[10] 100% 2回合",泡狐龍,,
338,,,泡基因【特大】,XL,,,,,,,,,,,
339,,,滅盡基因【小】,S,,,,,,,,,,,
340,,,滅盡基因【中】,M,,,,,,,,,,,
341,無,速度,滅盡基因【大】,L,1,主動,滅盡掌,"對單一敵方造成無屬性中量傷害。會心率高。
【強化1】威力：小幅提升會心率：小幅提升
【強化2】威力：中幅提升會心率：中幅提升",單體,20,60,會心率[20],滅盡龍,,
342,無,力量,滅盡基因【特大】,XL,30,主動,破棘滅盡旋‧天,"對敵方全體造成無屬性極大量傷害。自己的防禦力降低3回合，體力自動回復。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,50,154,"全屬性防禦力降低[30] 100% 3回合
自然恢復[20] 100% 3回合",滅盡龍,,
343,火,無,蠻顎基因【小】,S,1,主動,熱炎提升,"自己的火屬性攻擊力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",自身,6,0,火屬性攻擊力提升[15] 100% 5回合,蠻顎龍,,
344,火,力量,蠻顎基因【中】,M,10,主動,燃火爆射,"對敵方全體造成火屬性中量傷害。低機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,22,60,燒傷 35% 3回合,蠻顎龍,,
345,,,蠻顎基因【大】,L,,,,,,,,,,,
346,,,蠻顎基因【特大】,XL,,,,,,,,,,,
347,,,狼龍基因【小】,S,,,,,,,,,,,
348,,,狼龍基因【中】,M,,,,,,,,,,,
349,雷,速度,狼龍基因【大】,L,30,主動,雷迅掌,"對單一敵方造成雷屬性大量傷害。中機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,24,110,麻痺 50% 3回合,雷狼龍,,
350,龍,技巧,狼龍基因【特大】,XL,30,主動,龍神掌,"對單一敵方造成龍屬性大量傷害。高機率使其會心率降低3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,23,110,會心率降低[30] 80% 3回合,獄狼龍,,
351,,,剛力歌基因【小】,S,,,,,,,,,,,
352,無,無,剛力歌基因【中】,M,15,主動,剛力歌,"我方全體的全屬性攻擊力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",我方全體,20,0,全屬性攻擊力提升[20] 100% 5回合,彩鳥,,
353,,,剛力歌基因【大】,L,,,,,,,,,,,
354,,,剛力歌基因【特大】,XL,,,,,,,,,,,
355,,,堅守歌基因【小】,S,,,,,,,,,,,
356,無,無,堅守歌基因【中】,M,8,主動,堅守歌,"我方全體的全屬性防禦力小幅提升。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",我方全體,20,0,全屬性防禦力提升[20] 100% 5回合,彩鳥,,
357,,,堅守歌基因【大】,L,,,,,,,,,,,
358,,,堅守歌基因【特大】,XL,,,,,,,,,,,
359,,,奪力歌基因【小】,S,,,,,,,,,,,
360,無,無,奪力歌基因【中】,M,20,主動,弱化歌,"高機率使敵方全體的全屬性攻擊力小幅降低。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",全體,16,0,全屬性攻擊力降低[20] 80% 5回合,紅彩鳥,,
361,,,奪力歌基因【大】,L,,,,,,,,,,,
362,,,奪力歌基因【特大】,XL,,,,,,,,,,,
363,,,軟弱歌基因【小】,S,,,,,,,,,,,
364,無,無,軟弱歌基因【中】,M,10,主動,碎力歌,"高機率使敵方全體的全屬性防禦力小幅降低。
【強化0】效果回合：3
【強化1】效果回合：4
【強化2】效果回合：5",全體,16,0,全屬性防禦力降低[20] 80% 5回合,紅彩鳥,,
365,,,軟弱歌基因【大】,L,,,,,,,,,,,
366,,,軟弱歌基因【特大】,XL,,,,,,,,,,,
367,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,
401,無,力量,體力提升基因【小】,S,1,被動,體力增強【小】,"體力上限極少量提升。
【強化0】體力上限極小提升。
【強化1】體力上限微量提升。
【強化2】體力上限少量提升。",,,,體力增強[30],,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、波波、土砂龍、冰土砂龍,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、波波、土砂龍、冰土砂龍
402,無,力量,體力提升基因【中】,M,1,被動,體力增強【中】,"體力上限中量提升。
【強化0】體力上限少量提升。
【強化1】體力上限小量提升。
【強化2】體力上限中量提升。",,,,體力增強[40],,冰牙龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、冰牙龍、波波、土砂龍、冰土砂龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍
403,無,力量,體力提升基因【大】,L,1,被動,體力增強【大】,"體力上限特大提升。
【強化0】體力上限中量提升。
【強化1】體力上限大量提升。
【強化2】體力上限特大提升。",,,,體力增強[50],,,冰牙龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍
404,無,力量,體力提升基因【特大】,XL,1,被動,體力增強【特】,"體力上限極大提升。
【強化0】體力上限特大提升。
【強化1】體力上限超大提升。
【強化2】體力上限極大提升。",,,,體力增強[60],,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、冰牙龍、波波、土砂龍、冰土砂龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、冰牙龍、波波、土砂龍、冰土砂龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍
405,龍,速度,會心基因【小】,S,1,被動,會心【小】,"會心率少量提升。
【強化0】會心率極小提升。
【強化1】會心率微量提升。
【強化2】會心率少量提升。",,,,會心率[7],,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、波波、土砂龍、冰土砂龍,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、波波、土砂龍、冰土砂龍
406,龍,速度,會心基因【中】,M,1,被動,會心【中】,"會心率中量提升。
【強化0】會心率少量提升。
【強化1】會心率小量提升。
【強化2】會心率中量提升。",,,,會心率[10],,冰牙龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、冰牙龍、波波、土砂龍、冰土砂龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍
407,龍,速度,會心基因【大】,L,1,被動,會心【大】,"會心率特大提升。
【強化0】會心率中量提升。
【強化1】會心率大量提升。
【強化2】會心率特大提升。",,,,會心率[13],,,冰牙龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍
408,龍,速度,會心基因【特大】,XL,1,被動,會心【特】,"會心率極大提升。
【強化0】會心率特大提升。
【強化1】會心率超大提升。
【強化2】會心率極大提升。",,,,會心率[16],,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、冰牙龍、波波、土砂龍、冰土砂龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍,草食龍、怪鳥、搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、青怪鳥、彩鳥、狗龍王、迅龍、浮空龍、岩龍、雌火龍、水獸、蠻顎龍、白兔獸、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、眠狗龍王、飛雷龍、綠迅龍、奇怪龍、紅怪龍、冰牙龍、波波、土砂龍、冰土砂龍、風漂龍、爆鎚龍、鎧龍、紅彩鳥、泡狐龍、角龍、黑角龍、轟龍、黑轟龍、砂龍王、桃岩龍、一角龍、白一角龍、海龍、紫水獸、巨獸、黑鎧龍、雷狼龍、獄狼龍、斬龍、爆鱗龍、碎龍、電龍、白海龍、恐暴龍、千刃龍、風牙龍、金獅子、荒鉤爪轟龍、雷顎龍、白疾風迅龍、鏖魔角龍、櫻火龍、火龍、蒼火龍、金雷公雷狼龍、紫毒姬雌火龍、銀嶺巨獸、青電主電龍、燼滅刃斬龍
409,水,速度,迴避提升基因【小】,S,1,被動,迴避性能【小】,"有機率能迴避敵方的攻擊。無法迴避正面對決與羈絆技能。迴避率少量提升。
【強化0】迴避率極小提升。
【強化1】迴避率微量提升。
【強化2】迴避率少量提升。",,,,迴避性能[7],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍
410,水,速度,迴避提升基因【中】,M,1,被動,迴避性能【中】,"有機率能迴避敵方的攻擊。無法迴避正面對決與羈絆技能。迴避率中量提升。
【強化0】迴避率少量提升。
【強化1】迴避率小量提升。
【強化2】迴避率中量提升。",,,,迴避性能[10],,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
411,水,速度,迴避提升基因【大】,L,1,被動,迴避性能【大】,"有機率能迴避敵方的攻擊。無法迴避正面對決與羈絆技能。迴避率特大提升。
【強化0】迴避率中量提升。
【強化1】迴避率大量提升。
【強化2】迴避率特大提升。",,,,迴避性能[13],,,角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
412,水,速度,迴避提升基因【特大】,XL,1,被動,迴避性能【特】,"有機率能迴避敵方的攻擊。無法迴避正面對決與羈絆技能。迴避率極大提升。
【強化0】迴避率特大提升。
【強化1】迴避率超大提升。
【強化2】迴避率極大提升。",,,,迴避性能[16],,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍,搔鳥、野豬王、迅猛龍王、青熊獸、背甲龍、彩鳥、狗龍王、迅龍、浮空龍、綠迅龍、角龍、黑角龍、轟龍、黑轟龍、一角龍、白一角龍、千刃龍、風牙龍、荒鉤爪轟龍、白疾風迅龍、鏖魔角龍
413,冰,力量,毅力基因,L,1,被動,毅力,"體力高於一半時受到致命傷害可倖存1次。可抵禦致命傷害並保留少許體力。
【強化0】可抵禦致命傷害並保留體力1。
【強化1】可抵禦致命傷害並保留極少體力。
【強化2】可抵禦致命傷害並保留少許體力。",,,,毅力[51],,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍、加爾克(冰)
414,水,速度,加速基因,L,1,被動,加速,"有機率使行動順序成為攻擊行動當中最快的。【發動率】特高機率發動。
【強化0】特低機率發動。
【強化1】略低機率發動。
【強化2】特高機率發動。",,,,加速[30],,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍
